,EAD,EDD,year,month,day,hour,DayName,Arpt_cond,P_Airp,P_AAR,P_ADR,Arrival_remainder,Departure_remainder,WD_850,WD_925,WD_1000,WS_850,WS_925,WS_1000,WD,WSPD,WS_GST,VIS,WC,RN,CA_TOT,CLA_1LYR,BASE_1LYR,CLA_2LYR,BASE_2LYR,CLA_3LYR,BASE_3LYR,CLA_4LYR,BASE_4LYR,RVR,WDIR_t6,WSPD_t6,WG_t6,VIS_t6,WC_t6,CLA_1LYR_t6,BASE_1LYR_t6,CLA_2LYR_t6,BASE_2LYR_t6,CLA_3LYR_t6,BASE_3LYR_t6
0,3.0,9.0,2019,1,1,0,2,1.0,1.0,0.0,0.0,0.0,0.0,280.0,280.0,305.0,12.0,23.0,8.0,1,6,0.0,1000,1,0.0,0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
1,3.0,7.0,2019,1,1,1,2,1.0,1.0,4.0,7.0,0.0,2.0,280.0,280.0,305.0,12.0,23.0,8.0,31,5,0.0,1000,1,0.0,0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
2,2.0,3.0,2019,1,1,2,2,1.0,1.0,2.0,6.0,1.0,1.0,280.0,280.0,305.0,12.0,23.0,8.0,33,4,0.0,1000,1,0.0,0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
3,1.0,2.0,2019,1,1,3,2,1.0,1.0,0.0,3.0,2.0,0.0,280.0,280.0,305.0,12.0,23.0,8.0,32,4,0.0,1000,1,0.0,0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
4,15.0,2.0,2019,1,1,4,2,1.0,1.0,6.0,5.0,0.0,0.0,280.0,280.0,305.0,12.0,23.0,8.0,7,1,0.0,1000,1,0.0,2,2.0,30.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
5,36.0,1.0,2019,1,1,5,2,1.0,1.0,20.0,1.0,0.0,1.0,280.0,280.0,305.0,12.0,23.0,8.0,4,1,0.0,1000,1,0.0,2,2.0,30.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
6,36.0,16.0,2019,1,1,6,2,1.0,1.0,31.0,1.0,5.0,0.0,290.0,295.0,290.0,26.0,18.0,9.0,2,3,0.0,1000,1,0.0,2,2.0,30.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
7,27.0,30.0,2019,1,1,7,2,1.0,1.0,35.0,6.0,1.0,10.0,290.0,295.0,290.0,26.0,18.0,9.0,7,3,0.0,1000,1,0.0,2,2.0,30.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
8,23.0,32.0,2019,1,1,8,2,1.0,1.0,29.0,27.0,0.0,3.0,290.0,295.0,290.0,26.0,18.0,9.0,6,3,0.0,1000,1,0.0,4,2.0,30.0,4.0,120.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
9,19.0,41.0,2019,1,1,9,2,1.0,1.0,22.0,33.0,1.0,0.0,290.0,295.0,290.0,26.0,18.0,9.0,7,1,0.0,1000,1,0.0,5,5.0,110.0,0.0,400.0,0.0,400.0,0.0,400.0,1000.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
